,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,155,570,7.355,5,0.952,8.262103534733034e-07
1,162,603,7.444,5,0.954,2.263669435235197e-08
2,124,411,6.629,5,0.946,3.8354449315315706e-05
3,167,644,7.713,5,0.954,3.21769139634933e-07
4,163,607,7.448,5,0.954,4.1974177215017364e-09
5,84,259,6.167,5,0.926,7.777805901563424e-09
6,121,391,6.463,5,0.946,2.6651872993876156e-07
7,152,579,7.618,5,0.95,3.585433876920665e-15
8,106,371,7.0,5,0.933,5.1882708773248135e-06
9,125,435,6.96,6,0.944,1.3732176225300374e-05
10,190,795,8.368,5,0.956,8.278436894273814e-10
11,79,219,5.544,5,0.929,0.00016875644761826753
12,152,572,7.526,5,0.95,1.503684796636241e-08
13,96,270,5.625,5,0.941,4.173924805807075e-07
14,137,492,7.182,5,0.947,1.5266937125805656e-05
15,145,555,7.655,5,0.947,4.053946912941853e-06
16,197,823,8.355,6,0.957,3.89587098529973e-08
17,130,421,6.477,5,0.95,1.0141327101994803e-05
18,121,450,7.438,5,0.938,7.030000708335068e-06
19,110,334,6.073,6,0.944,7.29719863684658e-06
20,150,555,7.4,5,0.95,1.9046210472123165e-11
21,156,588,7.538,5,0.951,1.4146538093525251e-11
22,140,468,6.686,6,0.952,1.7410753928141661e-09
23,144,515,7.153,5,0.95,5.766041561667391e-07
24,87,259,5.954,5,0.931,1.7941228505931783e-05
25,67,174,5.194,5,0.921,0.005355044008164889
26,208,864,8.308,5,0.96,3.0496593245968474e-12
27,110,371,6.745,5,0.938,3.018750918498976e-06
28,144,572,7.944,5,0.944,1.3556864047841197e-07
29,89,234,5.258,5,0.94,5.805103704525746e-06
30,137,520,7.591,5,0.944,1.3960260458255027e-07
31,74,179,4.838,5,0.934,9.466446278465267e-06
32,86,265,6.163,5,0.927,2.2148627883429577e-07
33,102,339,6.647,5,0.934,4.2261724475897145e-06
34,133,482,7.248,5,0.945,2.1930473151204698e-07
35,124,473,7.629,5,0.938,2.3384981163282368e-06
36,85,219,5.153,5,0.939,3.6141835170467704e-09
37,66,168,5.091,6,0.922,2.349371553268252e-05
38,76,198,5.211,5,0.931,4.60187253158159e-06
39,111,366,6.595,5,0.94,5.29526230281409e-06
40,196,779,7.949,6,0.959,2.0416588883004234e-08
41,66,149,4.515,5,0.931,1.1181017592416598e-05
42,128,470,7.344,5,0.942,9.907476200211286e-06
43,108,344,6.37,5,0.94,0.00013733965223040087
44,86,280,6.512,5,0.923,1.493848996241661e-07
45,83,219,5.277,5,0.936,1.946105361956914e-05
46,141,497,7.05,6,0.95,1.234439318034255e-07
47,93,273,5.871,5,0.936,5.217116965934541e-11
48,138,538,7.797,5,0.943,8.123332624753667e-08
49,58,137,4.724,5,0.917,2.827008755585691e-05
50,110,365,6.636,5,0.939,1.4764824639818915e-07
51,112,384,6.857,5,0.938,1.1482677487426183e-05
52,185,712,7.697,5,0.958,8.503672926441383e-10
53,137,515,7.518,5,0.945,1.9542216007751015e-06
54,66,160,4.848,5,0.925,1.6685138215925345e-05
55,103,336,6.524,5,0.936,7.943931424008051e-06
56,102,310,6.078,6,0.94,3.7639564374328565e-05
57,85,249,5.859,5,0.93,2.9615872839786982e-05
58,81,212,5.235,6,0.935,8.542930605693348e-07
59,125,450,7.2,6,0.942,1.0793237585969434e-09
