,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,7,6,1.714,4,0.714,0.10674029652882515
1,6,5,1.667,3,0.667,0.18465786725114805
2,10,9,1.8,4,0.8,0.0858658428015464
3,12,11,1.833,4,0.833,0.014689782614612627
4,22,24,2.182,6,0.896,8.078020330091073e-05
5,19,18,1.895,6,0.895,0.014311552489280675
6,12,11,1.833,4,0.833,0.07418161697478953
7,8,7,1.75,4,0.75,0.11078550171706238
8,13,12,1.846,4,0.846,0.036212716874077934
9,14,13,1.857,4,0.857,0.02549223571654998
10,13,13,2.0,6,0.833,0.0058675574266367865
11,8,7,1.75,4,0.75,0.17707252010235341
12,8,7,1.75,3,0.75,0.11974897799753077
13,7,6,1.714,4,0.714,0.11143624144459241
14,9,8,1.778,4,0.778,0.08555518553662694
15,6,5,1.667,3,0.667,0.07589961566477071
16,6,5,1.667,3,0.667,0.19055114018045297
17,16,17,2.125,6,0.858,0.020503343213470738
18,6,5,1.667,3,0.667,0.19032262283586304
19,6,5,1.667,3,0.667,0.18037948553940586
20,7,6,1.714,4,0.714,0.10769173793984835
21,11,10,1.818,4,0.818,0.02885022149775757
22,7,6,1.714,3,0.714,0.12140359794676553
23,14,18,2.571,6,0.802,0.011899344351572992
24,21,23,2.19,6,0.89,0.0013154268497591731
25,13,16,2.462,6,0.795,0.001954782749907716
26,23,26,2.261,6,0.897,0.0007967466135492487
27,15,17,2.267,6,0.838,0.003257496477704502
28,9,11,2.444,5,0.694,0.03526345575218257
29,9,12,2.667,4,0.667,0.015645425573023945
30,17,20,2.353,6,0.853,0.0006096643570545382
31,9,11,2.444,4,0.694,0.01992473981415382
32,26,32,2.462,6,0.902,4.5706730400770315e-06
33,25,27,2.16,6,0.91,0.0002037596934736031
34,23,26,2.261,6,0.897,1.443707515898085e-05
35,14,17,2.429,6,0.813,0.0050514196453277736
36,12,14,2.333,5,0.788,0.003744813657723826
37,10,12,2.4,5,0.733,0.03796653349712113
38,9,12,2.667,4,0.667,0.023248404241982105
39,13,16,2.462,6,0.795,0.012044718751468876
40,8,10,2.5,4,0.643,0.04786078071648743
41,27,32,2.37,6,0.909,0.00022745519646250484
42,24,26,2.167,6,0.906,0.0002058802623130255
43,17,20,2.353,6,0.853,0.01715870923771303
44,20,23,2.3,6,0.879,0.0019437047142109873
45,10,12,2.4,6,0.733,0.06352444856387997
46,16,18,2.25,5,0.85,0.0023265409684256897
47,11,14,2.545,4,0.745,0.0018625721726376783
48,20,23,2.3,6,0.879,0.0014315090411460352
49,10,12,2.4,5,0.733,0.006473164214037577
50,25,28,2.24,6,0.907,0.0006640700612439964
51,29,31,2.138,6,0.924,7.238748417830015e-05
52,20,24,2.4,6,0.874,0.0004760373142882365
53,13,16,2.462,6,0.795,0.01093789968778804
54,17,21,2.471,6,0.846,0.0009017456744159575
55,11,13,2.364,5,0.764,0.009971685276247116
56,10,13,2.6,4,0.711,0.005542238772506119
57,14,17,2.429,6,0.813,0.00441276933862266
58,8,10,2.5,4,0.643,0.05886913730872636
59,19,22,2.316,5,0.871,0.0005157091564675619
